Unique_Seq_ID	Cleavage_State	Terminus_State	Protein_Name	Protein_Expectation_Value_Log(e)	Protein_Intensity_Log(I)
1706	2	0	SO_4105	-116.6	6.79
1707	2	0	SO_4105	-116.6	6.79
1708	2	0	SO_4105	-116.6	6.79
1709	1	0	SO_4105	-116.6	6.79
1710	2	0	SO_4105	-116.6	6.79
1711	1	0	SO_4105	-116.6	6.79
1712	2	0	SO_4105	-116.6	6.79
1713	1	0	SO_4105	-116.6	6.79
1714	1	0	SO_4105	-116.6	6.79
1715	2	0	SO_4105	-116.6	6.79
1716	1	0	SO_4105	-116.6	6.79
1717	1	0	SO_0248	-116.2	6.82
1718	1	0	SO_0248	-116.2	6.82
1719	2	0	SO_0248	-116.2	6.82
1720	1	0	SO_0248	-116.2	6.82
1721	2	0	SO_0248	-116.2	6.82
1722	2	0	SO_0248	-116.2	6.82
1723	2	0	SO_0248	-116.2	6.82
1724	2	0	SO_0248	-116.2	6.82
1725	2	0	SO_0248	-116.2	6.82
1726	1	0	SO_0248	-116.2	6.82
1727	1	0	SO_0248	-116.2	6.82
1728	2	0	SO_0248	-116.2	6.82
1729	1	0	SO_0248	-116.2	6.82
1730	1	0	SO_0248	-116.2	6.82
1731	1	0	SO_0248	-116.2	6.82
1732	2	0	SO_0248	-116.2	6.82
1733	2	2	SO_0248	-116.2	6.82
1734	2	0	SO_3070	-115.0	6.44
1735	2	0	SO_3070	-115.0	6.44
1736	2	0	SO_3070	-115.0	6.44
1737	2	0	SO_3070	-115.0	6.44
1738	2	0	SO_3070	-115.0	6.44
1739	2	0	SO_3070	-115.0	6.44
1740	2	0	SO_3070	-115.0	6.44
1741	2	0	SO_3070	-115.0	6.44
1742	1	0	SO_3070	-115.0	6.44
1743	2	0	SO_3070	-115.0	6.44
1744	2	0	SO_3070	-115.0	6.44
1745	2	1	SO_3740	-113.7	6.28
1746	2	0	SO_3740	-113.7	6.28
1747	2	0	SO_3740	-113.7	6.28
1748	2	0	SO_3740	-113.7	6.28
1749	2	0	SO_3740	-113.7	6.28
1750	2	0	SO_3740	-113.7	6.28
1751	2	0	SO_3740	-113.7	6.28
1752	2	0	SO_3740	-113.7	6.28
1753	2	0	SO_3740	-113.7	6.28
1754	2	0	SO_3740	-113.7	6.28
1755	2	0	SO_3740	-113.7	6.28
1756	2	0	SO_3740	-113.7	6.28
1757	1	0	SO_3237	-110.1	6.98
1758	1	0	SO_3237	-110.1	6.98
1759	2	0	SO_3237	-110.1	6.98
1760	2	0	SO_3237	-110.1	6.98
1760	2	0	SO_3238	-100.5	6.37
1761	2	0	SO_3237	-110.1	6.98
1761	2	0	SO_3238	-100.5	6.37
1762	2	0	SO_3237	-110.1	6.98
1762	2	0	SO_3238	-100.5	6.37
1763	1	0	SO_3237	-110.1	6.98
1763	1	0	SO_3238	-100.5	6.37
1764	2	0	SO_3237	-110.1	6.98
1765	2	0	SO_3237	-110.1	6.98
1766	2	0	SO_3237	-110.1	6.98
1766	2	0	SO_3238	-100.5	6.37
1767	1	0	SO_3237	-110.1	6.98
1767	1	0	SO_3238	-100.5	6.37
1768	2	0	SO_3237	-110.1	6.98
1768	2	0	SO_3238	-100.5	6.37
1769	1	0	SO_2345	-106.6	6.65
1770	1	0	SO_2345	-106.6	6.65
1771	1	0	SO_2345	-106.6	6.65
1772	2	0	SO_2345	-106.6	6.65
1773	1	0	SO_2345	-106.6	6.65
1774	2	0	SO_2345	-106.6	6.65
1775	2	0	SO_2345	-106.6	6.65
1776	1	0	SO_2345	-106.6	6.65
1777	1	0	SO_2345	-106.6	6.65
1778	2	0	SO_2345	-106.6	6.65
1779	2	0	SO_2345	-106.6	6.65
1780	2	0	SO_2345	-106.6	6.65
1781	2	0	SO_2345	-106.6	6.65
1782	2	0	SO_2345	-106.6	6.65
1783	2	0	SO_2345	-106.6	6.65
1784	2	0	SO_2345	-106.6	6.65
1785	0	2	SO_2345	-106.6	6.65
1786	2	0	SO_4211	-106.3	6.09
1787	2	0	SO_4211	-106.3	6.09
1788	2	0	SO_4211	-106.3	6.09
1789	2	0	SO_4211	-106.3	6.09
1790	2	0	SO_4211	-106.3	6.09
1791	2	0	SO_4211	-106.3	6.09
1792	1	0	SO_4211	-106.3	6.09
1793	2	0	SO_4211	-106.3	6.09
1794	2	0	SO_4211	-106.3	6.09
1795	2	0	SO_4211	-106.3	6.09
1796	2	0	SO_4211	-106.3	6.09
1797	2	0	SO_0228	-104.7	6.15
1798	1	0	SO_0228	-104.7	6.15
1799	2	0	SO_0228	-104.7	6.15
1800	2	0	SO_0228	-104.7	6.15
1801	2	0	SO_0228	-104.7	6.15
1802	1	0	SO_0228	-104.7	6.15
1803	1	0	SO_0228	-104.7	6.15
1804	2	0	SO_0228	-104.7	6.15
1805	2	0	SO_0228	-104.7	6.15
1806	2	0	SO_0228	-104.7	6.15
1807	2	0	SO_0228	-104.7	6.15
1808	2	0	SO_0228	-104.7	6.15
1809	2	0	SO_1829	-103.9	6.52
1810	2	0	SO_1829	-103.9	6.52
1811	2	0	SO_1829	-103.9	6.52
1812	2	0	SO_1829	-103.9	6.52
1813	2	0	SO_1829	-103.9	6.52
1814	2	0	SO_1829	-103.9	6.52
1815	1	0	SO_1829	-103.9	6.52
1816	2	0	SO_1829	-103.9	6.52
1817	2	0	SO_1829	-103.9	6.52
1818	2	0	SO_1829	-103.9	6.52
1819	2	0	SO_1829	-103.9	6.52
1820	2	0	SO_1829	-103.9	6.52
1821	1	0	SO_1829	-103.9	6.52
1822	2	0	SO_1829	-103.9	6.52
1823	2	0	SO_1829	-103.9	6.52
1824	1	0	SO_1829	-103.9	6.52
1825	2	0	SO_3142	-103.8	6.11
1826	2	0	SO_3142	-103.8	6.11
1827	2	0	SO_3142	-103.8	6.11
1828	2	0	SO_3142	-103.8	6.11
1829	2	0	SO_3142	-103.8	6.11
1830	2	0	SO_3142	-103.8	6.11
1831	2	0	SO_3142	-103.8	6.11
1832	2	0	SO_3142	-103.8	6.11
1833	2	0	SO_3142	-103.8	6.11
1834	2	1	SO_1797	-103.4	6.86
1835	2	1	SO_1797	-103.4	6.86
1836	1	0	SO_1797	-103.4	6.86
1837	2	0	SO_1797	-103.4	6.86
1838	2	0	SO_1797	-103.4	6.86
1839	1	0	SO_1797	-103.4	6.86
1840	2	0	SO_1797	-103.4	6.86
1841	1	0	SO_1797	-103.4	6.86
1842	1	0	SO_1797	-103.4	6.86
1843	2	0	SO_1797	-103.4	6.86
1844	2	0	SO_1797	-103.4	6.86
1845	2	0	SO_1797	-103.4	6.86
1846	2	1	SO_0021	-102.7	5.90
1847	1	0	SO_0021	-102.7	5.90
1848	2	0	SO_0021	-102.7	5.90
1849	2	0	SO_0021	-102.7	5.90
1850	2	0	SO_0021	-102.7	5.90
1851	1	0	SO_0021	-102.7	5.90
1852	2	0	SO_0021	-102.7	5.90
1853	2	0	SO_0021	-102.7	5.90
1854	2	0	SO_0021	-102.7	5.90
1855	2	0	SO_0021	-102.7	5.90
1856	2	0	SO_2350	-102.3	5.97
1857	2	0	SO_2350	-102.3	5.97
1858	2	0	SO_2350	-102.3	5.97
1859	2	0	SO_2350	-102.3	5.97
1860	2	0	SO_2350	-102.3	5.97
1861	2	0	SO_2350	-102.3	5.97
1862	2	0	SO_2350	-102.3	5.97
1863	1	0	SO_3238	-100.5	6.37
1864	1	0	SO_3238	-100.5	6.37
1865	2	0	SO_3238	-100.5	6.37
1866	2	0	SO_3238	-100.5	6.37
1867	2	0	SO_1484	-99.7	6.58
1868	2	0	SO_1484	-99.7	6.58
1869	2	0	SO_1484	-99.7	6.58
1870	2	0	SO_1484	-99.7	6.58
1871	2	0	SO_1484	-99.7	6.58
1872	2	0	SO_1484	-99.7	6.58
1873	2	0	SO_1484	-99.7	6.58
1874	2	0	SO_1484	-99.7	6.58
1875	1	0	SO_1484	-99.7	6.58
1876	2	0	SO_1484	-99.7	6.58
1877	2	0	SO_1484	-99.7	6.58
1878	2	0	SO_0781	-97.6	6.31
1879	2	0	SO_0781	-97.6	6.31
1880	2	0	SO_0781	-97.6	6.31
1881	1	0	SO_0781	-97.6	6.31
1882	1	0	SO_0781	-97.6	6.31
1883	1	0	SO_0781	-97.6	6.31
1884	2	0	SO_0781	-97.6	6.31
1885	2	0	SO_0781	-97.6	6.31
1886	1	0	SO_0781	-97.6	6.31
1887	2	0	SO_0781	-97.6	6.31
1888	2	0	SO_0781	-97.6	6.31
1889	2	0	SO_0781	-97.6	6.31
1890	1	0	SO_0781	-97.6	6.31
1891	2	0	SO_0781	-97.6	6.31
1892	1	0	SO_1538	-96.9	5.93
1893	2	0	SO_1538	-96.9	5.93
1894	1	0	SO_1538	-96.9	5.93
1895	2	0	SO_1538	-96.9	5.93
1896	2	0	SO_1538	-96.9	5.93
1897	2	0	SO_1538	-96.9	5.93
1898	2	2	SO_1538	-96.9	5.93
1899	2	0	SO_1065	-96.6	6.43
1900	2	0	SO_1065	-96.6	6.43
1901	2	0	SO_1065	-96.6	6.43
1902	1	0	SO_1065	-96.6	6.43
1903	2	0	SO_1065	-96.6	6.43
1904	2	0	SO_1065	-96.6	6.43
1905	2	0	SO_1065	-96.6	6.43
1906	1	0	SO_1065	-96.6	6.43
1907	2	0	SO_1065	-96.6	6.43
1908	1	0	SO_1065	-96.6	6.43
1909	2	0	SO_1065	-96.6	6.43
1910	2	2	SO_1065	-96.6	6.43
1911	2	0	SO_3930	-96.5	6.60
1912	1	0	SO_3930	-96.5	6.60
1913	2	0	SO_3930	-96.5	6.60
1914	2	0	SO_3930	-96.5	6.60
1915	1	0	SO_3930	-96.5	6.60
1916	1	0	SO_3930	-96.5	6.60
1917	2	0	SO_3930	-96.5	6.60
1918	2	0	SO_3930	-96.5	6.60
1919	2	0	SO_1551	-96.1	6.25
1920	2	0	SO_1551	-96.1	6.25
1921	2	0	SO_1551	-96.1	6.25
1922	2	0	SO_1551	-96.1	6.25
1923	2	0	SO_1551	-96.1	6.25
1924	2	0	SO_1551	-96.1	6.25
1925	2	0	SO_1551	-96.1	6.25
1926	1	0	SO_1551	-96.1	6.25
1927	2	0	SO_1551	-96.1	6.25
1928	2	0	SO_1551	-96.1	6.25
1929	2	0	SO_1551	-96.1	6.25
1930	2	0	SO_0862	-93.0	6.25
1931	2	0	SO_0862	-93.0	6.25
1932	2	0	SO_0862	-93.0	6.25
1933	2	0	SO_0862	-93.0	6.25
1934	2	0	SO_0862	-93.0	6.25
1935	2	0	SO_0862	-93.0	6.25
1936	2	0	SO_0862	-93.0	6.25
1937	2	0	SO_0862	-93.0	6.25
1938	2	0	SO_0862	-93.0	6.25
1939	1	0	SO_0246	-93.0	6.70
1940	1	0	SO_0246	-93.0	6.70
1941	2	0	SO_0246	-93.0	6.70
1942	2	0	SO_0246	-93.0	6.70
1943	1	0	SO_0246	-93.0	6.70
1944	1	0	SO_0246	-93.0	6.70
1945	1	0	SO_0246	-93.0	6.70
1946	2	0	SO_0246	-93.0	6.70
1947	1	0	SO_0246	-93.0	6.70
1948	2	0	SO_0246	-93.0	6.70
1949	2	0	SO_0234	-92.8	6.66
1950	2	0	SO_0234	-92.8	6.66
1951	2	0	SO_0234	-92.8	6.66
1952	2	0	SO_0234	-92.8	6.66
1953	2	0	SO_0234	-92.8	6.66
1954	1	0	SO_0234	-92.8	6.66
1955	1	0	SO_0234	-92.8	6.66
1956	2	0	SO_0234	-92.8	6.66
1957	2	0	SO_0234	-92.8	6.66
1958	2	0	SO_0234	-92.8	6.66
1959	1	0	SO_0234	-92.8	6.66
1960	2	0	SO_0234	-92.8	6.66
1961	2	0	SO_0933	-91.7	6.82
1962	2	0	SO_0933	-91.7	6.82
1963	2	0	SO_0933	-91.7	6.82
1964	2	0	SO_0933	-91.7	6.82
1965	2	0	SO_0933	-91.7	6.82
1966	2	0	SO_0933	-91.7	6.82
1967	2	0	SO_0933	-91.7	6.82
1968	2	0	SO_0933	-91.7	6.82
1969	2	0	SO_0933	-91.7	6.82
1970	2	0	SO_0933	-91.7	6.82
1971	2	0	SO_0933	-91.7	6.82
1972	2	0	SO_0933	-91.7	6.82
1973	1	0	SO_0933	-91.7	6.82
1974	2	0	SO_0933	-91.7	6.82
1975	1	0	SO_0932	-90.1	5.97
1976	2	0	SO_0932	-90.1	5.97
1977	1	0	SO_0932	-90.1	5.97
1978	1	0	SO_0932	-90.1	5.97
1979	1	0	SO_0932	-90.1	5.97
1980	2	0	SO_0932	-90.1	5.97
1981	2	0	SO_0932	-90.1	5.97
1982	2	0	SO_0932	-90.1	5.97
1983	2	0	SO_2491	-89.6	6.12
1984	2	0	SO_2491	-89.6	6.12
1985	2	0	SO_2491	-89.6	6.12
1986	2	0	SO_2491	-89.6	6.12
1987	2	0	SO_2491	-89.6	6.12
1988	2	0	SO_2491	-89.6	6.12
1989	2	0	SO_2491	-89.6	6.12
1990	2	0	SO_2491	-89.6	6.12
1991	2	0	SO_2491	-89.6	6.12
1992	2	0	SO_2491	-89.6	6.12
1993	2	0	SO_2491	-89.6	6.12
1994	2	0	SO_1270	-89.2	6.07
1995	2	0	SO_1270	-89.2	6.07
1996	1	0	SO_1270	-89.2	6.07
1997	1	0	SO_1270	-89.2	6.07
1998	2	0	SO_1270	-89.2	6.07
1999	2	0	SO_1270	-89.2	6.07
2000	2	0	SO_1270	-89.2	6.07
2001	2	0	SO_1270	-89.2	6.07
2002	2	0	SO_1270	-89.2	6.07
2003	2	0	SO_1270	-89.2	6.07
2004	2	0	SO_2433	-88.9	5.69
2005	2	0	SO_2433	-88.9	5.69
2006	2	0	SO_2433	-88.9	5.69
2007	2	0	SO_2433	-88.9	5.69
2008	2	0	SO_2433	-88.9	5.69
2009	2	0	SO_2433	-88.9	5.69
2010	2	0	SO_2433	-88.9	5.69
2011	2	0	SO_2433	-88.9	5.69
2012	2	0	SO_1142	-87.6	6.49
