RankXc	ScanNum	ChargeState	MultiProteinID	Reference	
1	214	1	19	SO_3635
1	214	1	2	SO_0204
1	214	1	20	SO_3690
1	214	1	21	SO_3797
1	214	1	22	SO_3937
1	214	1	23	SO_3941
1	214	1	24	SO_4078
1	214	1	25	SO_4413
1	214	1	26	SO_4552
1	214	1	27	SO_4606
1	214	1	28	SO_4634
1	214	1	29	SO_4696
1	214	1	3	SO_0297
1	214	1	4	SO_0561
1	214	1	5	SO_0659
1	214	1	6	SO_0677
1	214	1	7	SO_1101
1	214	1	8	SO_1121
1	214	1	9	SO_1429
1	216	1	1	SO_2760
1	216	1	2	SO_2774
1	216	1	3	SO_4670
1	217	1	1	SO_3058
1	217	1	2	SO_3301
1	218	1	1	SO_0011
1	218	1	10	SO_3139
1	218	1	11	SO_3525
1	218	1	12	SO_3622
1	218	1	13	SO_4015
1	218	1	14	SO_4131
1	218	1	2	SO_0813
1	218	1	3	SO_1055
1	218	1	4	SO_1694
1	218	1	5	SO_1713
1	218	1	6	SO_2267
1	218	1	7	SO_2459
1	218	1	8	SO_2570
1	218	1	9	SO_3084
1	229	1	1	SO_1325
1	229	1	2	SO_1428
1	229	1	3	SO_1521
1	235	1	1	SO_0189
1	235	1	2	SO_0189
1	237	1	1	SO_1700
1	237	1	2	SO_3267
1	237	1	3	SO_4243
1	244	1	1	SO_0680
1	244	1	2	SO_0931
1	244	1	3	SO_1048
1	244	1	4	SO_4669
1	245	1	1	SO_2129
1	245	1	2	SO_4160
1	246	1	1	SO_2108
1	246	1	2	SO_4539
1	247	1	1	SO_2634
1	247	1	2	SO_3104
1	247	1	3	SO_3287
1	247	1	4	SO_3771
1	258	1	1	SO_0056
1	258	1	2	SO_2124
1	258	1	3	SO_2325
1	258	1	4	SO_2406
1	258	1	5	SO_2923
1	258	1	6	SO_3167
1	258	1	7	SO_3393
1	258	1	8	SO_4032
1	260	1	1	SO_3352
1	260	1	2	SO_3642
1	268	1	1	SO_0251
1	268	1	2	SO_2221
